target_model,label,group,model,auroc_mean,auroc_std,auprc_mean,auprc_std,spearman_mean,spearman_std,n_folds,auroc_ci,auprc_ci,spearman_ci
1.4B,exact_match,baseline,logistic,0.7263668735267934,0.03151889004946647,0.03131210922832187,0.007290060244808981,0.20589754395125226,0.008820295873435397,15,0.726 ± 0.032,0.031 ± 0.007,0.206 ± 0.009
1.4B,exact_match,counts,logistic,0.7233391105803287,0.027512884168521223,0.03286592372448243,0.008583912195693431,0.22996694673569443,0.008831152979052254,15,0.723 ± 0.028,0.033 ± 0.009,0.230 ± 0.009
1.4B,exact_match,full,logistic,0.7884375851309746,0.018442116798509284,0.025148862059672927,0.0026738321685364067,0.2684921327078901,0.007348365284569582,15,0.788 ± 0.018,0.025 ± 0.003,0.268 ± 0.007
1.4B,exact_match,full_gbm,gbm,0.777116709391724,0.020482931866913724,0.03172973798261288,0.004390461205073001,0.2684921327078901,0.007348365284569582,15,0.777 ± 0.020,0.032 ± 0.004,0.268 ± 0.007
1.4B,exact_match,length_only,logistic,0.7263668735267934,0.03151889004946647,0.03131210922832187,0.007290060244808981,0.20589754370994384,0.008820295885018306,15,0.726 ± 0.032,0.031 ± 0.007,0.206 ± 0.009
1.4B,exact_match,random_null,logistic,0.5074057499284864,0.02874528674239576,0.006074069950137541,0.0009351076152987977,0.004159246170002973,0.007917494190038444,15,0.507 ± 0.029,0.006 ± 0.001,0.004 ± 0.008
1.4B,exact_match,trivial,logistic,0.6378753547331153,0.026026734806293705,0.009137911187189889,0.0009642101943236172,0.19617834373318552,0.008561082706948579,15,0.638 ± 0.026,0.009 ± 0.001,0.196 ± 0.009
1.4B,half_match,baseline,logistic,0.768512999079425,0.011246708433713589,0.13418079735308913,0.014367913284714099,0.20580492707827702,0.0056847907716447,15,0.769 ± 0.011,0.134 ± 0.014,0.206 ± 0.006
1.4B,half_match,counts,logistic,0.7836652397905584,0.01204973403830276,0.1218492322965678,0.010760901288425608,0.22994042931473346,0.0056727179221103445,15,0.784 ± 0.012,0.122 ± 0.011,0.230 ± 0.006
1.4B,half_match,full,logistic,0.8352306197925566,0.006563909889637746,0.12614122220018623,0.009801417159968129,0.2683957343653036,0.004120450125546806,15,0.835 ± 0.007,0.126 ± 0.010,0.268 ± 0.004
1.4B,half_match,full_gbm,gbm,0.8436239814879265,0.006493894072072061,0.15633426201462763,0.013648499699647597,0.2683957343653036,0.004120450125546806,15,0.844 ± 0.006,0.156 ± 0.014,0.268 ± 0.004
1.4B,half_match,length_only,logistic,0.768512999079425,0.011246708433713594,0.13418079735308913,0.014367913284714099,0.20580492756986324,0.005684791732430898,15,0.769 ± 0.011,0.134 ± 0.014,0.206 ± 0.006
1.4B,half_match,random_null,logistic,0.49621913296092557,0.01566759324762067,0.02550446883717298,0.0013457333401151476,0.0023459171507555494,0.0054873495558854755,15,0.496 ± 0.016,0.026 ± 0.001,0.002 ± 0.005
1.4B,half_match,trivial,logistic,0.7168758741672977,0.013616537728493755,0.0619179263188973,0.0036628869193387394,0.19613854554865479,0.0039538756416853515,15,0.717 ± 0.014,0.062 ± 0.004,0.196 ± 0.004
1.4B,top_1.0pct,baseline,logistic,0.7720301718958603,0.015205772384937444,0.07160612718343765,0.010713345040910973,0.20592936729293687,0.004423565181561032,15,0.772 ± 0.015,0.072 ± 0.011,0.206 ± 0.004
1.4B,top_1.0pct,counts,logistic,0.7701850387576771,0.012455443727216695,0.06961726140134902,0.010424116604896895,0.23006051868154356,0.004873076218375465,15,0.770 ± 0.012,0.070 ± 0.010,0.230 ± 0.005
1.4B,top_1.0pct,full,logistic,0.826455972467898,0.011582697851989997,0.06042284887212436,0.005961897872429648,0.26845744840327185,0.0042637829377710915,15,0.826 ± 0.012,0.060 ± 0.006,0.268 ± 0.004
1.4B,top_1.0pct,full_gbm,gbm,0.8340736916420787,0.012200248025454965,0.07131777651614568,0.006343532417024092,0.26845744840327185,0.0042637829377710915,15,0.834 ± 0.012,0.071 ± 0.006,0.268 ± 0.004
1.4B,top_1.0pct,length_only,logistic,0.7720301718958603,0.015205772384937444,0.07160612718343765,0.010713345040910975,0.20592936750187127,0.004423565157946105,15,0.772 ± 0.015,0.072 ± 0.011,0.206 ± 0.004
1.4B,top_1.0pct,random_null,logistic,0.505607788375757,0.017264314265338525,0.011278118506020635,0.0015126389425192768,0.002278544829638069,0.008114557385067882,15,0.506 ± 0.017,0.011 ± 0.002,0.002 ± 0.008
1.4B,top_1.0pct,trivial,logistic,0.6918741561291509,0.020219110961817856,0.023061147662579825,0.002111654789697849,0.19615201389066225,0.004554318119566131,15,0.692 ± 0.020,0.023 ± 0.002,0.196 ± 0.005
