target_model,label,group,model,auroc_mean,auroc_std,auprc_mean,auprc_std,spearman_mean,spearman_std,n_folds,auroc_ci,auprc_ci,spearman_ci
1.4B_gpt2,exact_match,baseline,logistic,0.7263668735267934,0.03151889004946647,0.03131210922832187,0.007290060244808981,0.20589754395125226,0.008820295873435397,15,0.726 ± 0.032,0.031 ± 0.007,0.206 ± 0.009
1.4B_gpt2,exact_match,counts,logistic,0.7594086579594561,0.025639023969580652,0.028135099783195224,0.004913565327055402,0.2604252035612713,0.008500605227723518,15,0.759 ± 0.026,0.028 ± 0.005,0.260 ± 0.009
1.4B_gpt2,exact_match,full,logistic,0.7841817559762804,0.023256121452196958,0.02396366368460916,0.0035252128918822484,0.27432259794065766,0.0066750944292329984,15,0.784 ± 0.023,0.024 ± 0.004,0.274 ± 0.007
1.4B_gpt2,exact_match,full_gbm,gbm,0.7738501623690155,0.02136618075365438,0.028188977795180516,0.004174050606115424,0.27432259794065766,0.0066750944292329984,15,0.774 ± 0.021,0.028 ± 0.004,0.274 ± 0.007
1.4B_gpt2,exact_match,length_only,logistic,0.7576737216714207,0.028679318197182457,0.02898735354396388,0.005300620094108437,0.24662785133288817,0.008214818996438524,15,0.758 ± 0.029,0.029 ± 0.005,0.247 ± 0.008
1.4B_gpt2,exact_match,trivial,logistic,0.6378753547331153,0.026026734806293705,0.009137911187189889,0.0009642101943236172,0.19617834373318552,0.008561082706948579,15,0.638 ± 0.026,0.009 ± 0.001,0.196 ± 0.009
1.4B_gpt2,half_match,baseline,logistic,0.768512999079425,0.011246708433713589,0.13418079735308913,0.014367913284714099,0.20580492707827702,0.0056847907716447,15,0.769 ± 0.011,0.134 ± 0.014,0.206 ± 0.006
1.4B_gpt2,half_match,counts,logistic,0.817224243258242,0.009944742296400395,0.1141980691785838,0.01151845994908595,0.26034803247648547,0.003790263904009624,15,0.817 ± 0.010,0.114 ± 0.012,0.260 ± 0.004
1.4B_gpt2,half_match,full,logistic,0.8311263348362767,0.008413669828504472,0.11435258516589815,0.009428845300605004,0.27445096857060525,0.0037059377288580202,15,0.831 ± 0.008,0.114 ± 0.009,0.274 ± 0.004
1.4B_gpt2,half_match,full_gbm,gbm,0.843331996863485,0.008397048023682942,0.1491621899286146,0.012956148355291318,0.27445096857060525,0.0037059377288580202,15,0.843 ± 0.008,0.149 ± 0.013,0.274 ± 0.004
1.4B_gpt2,half_match,length_only,logistic,0.8108906935092485,0.011223359163251304,0.12053156431332816,0.014838874001002152,0.24657396186732897,0.0038302631937419235,15,0.811 ± 0.011,0.121 ± 0.015,0.247 ± 0.004
1.4B_gpt2,half_match,trivial,logistic,0.7168758741672977,0.013616537728493755,0.0619179263188973,0.0036628869193387394,0.19613854554865479,0.0039538756416853515,15,0.717 ± 0.014,0.062 ± 0.004,0.196 ± 0.004
1.4B_gpt2,top_1.0pct,baseline,logistic,0.7720301718958603,0.015205772384937444,0.07160612718343765,0.010713345040910973,0.20592936729293687,0.004423565181561032,15,0.772 ± 0.015,0.072 ± 0.011,0.206 ± 0.004
1.4B_gpt2,top_1.0pct,counts,logistic,0.8038073844241149,0.01580531467475568,0.059623823799089176,0.006304996529022213,0.26035596248079756,0.005324991309881219,15,0.804 ± 0.016,0.060 ± 0.006,0.260 ± 0.005
1.4B_gpt2,top_1.0pct,full,logistic,0.8230270656991573,0.013498368463161844,0.05885122902076611,0.006705600700330987,0.27440476775898465,0.004504184520323171,15,0.823 ± 0.013,0.059 ± 0.007,0.274 ± 0.005
1.4B_gpt2,top_1.0pct,full_gbm,gbm,0.8302847616290431,0.012930706109756633,0.06461058710080332,0.004242812000889657,0.27440476775898465,0.004504184520323171,15,0.830 ± 0.013,0.065 ± 0.004,0.274 ± 0.005
1.4B_gpt2,top_1.0pct,length_only,logistic,0.798568841332896,0.01702168700366795,0.06236907989606041,0.00696002420691009,0.24664232064535344,0.005835390936891222,15,0.799 ± 0.017,0.062 ± 0.007,0.247 ± 0.006
1.4B_gpt2,top_1.0pct,trivial,logistic,0.6918741561291509,0.020219110961817856,0.023061147662579825,0.002111654789697849,0.19615201389066225,0.004554318119566131,15,0.692 ± 0.020,0.023 ± 0.002,0.196 ± 0.005
1.4B_gpt2,top_5.0pct,baseline,logistic,0.7568600288921774,0.00624597192911477,0.19965894999095457,0.009483929658812841,0.20593723803018626,0.004656673709543284,15,0.757 ± 0.006,0.200 ± 0.009,0.206 ± 0.005
1.4B_gpt2,top_5.0pct,counts,logistic,0.8066122916085536,0.00396202882326457,0.17845899545442254,0.005900225405341371,0.26038310269151393,0.004533255348406727,15,0.807 ± 0.004,0.178 ± 0.006,0.260 ± 0.005
1.4B_gpt2,top_5.0pct,full,logistic,0.8204789306029862,0.004555207202275023,0.1831370326543544,0.006267221342296785,0.27446227387183436,0.003770555285995895,15,0.820 ± 0.005,0.183 ± 0.006,0.274 ± 0.004
1.4B_gpt2,top_5.0pct,full_gbm,gbm,0.8337088030233696,0.004427371946562453,0.23323241665922664,0.008848189098669882,0.27446227387183436,0.003770555285995895,15,0.834 ± 0.004,0.233 ± 0.009,0.274 ± 0.004
1.4B_gpt2,top_5.0pct,length_only,logistic,0.7983743251300145,0.0040021674960675855,0.1835575026730288,0.007749356947890807,0.2466352906997334,0.004277332045488172,15,0.798 ± 0.004,0.184 ± 0.008,0.247 ± 0.004
1.4B_gpt2,top_5.0pct,trivial,logistic,0.7228302375611312,0.0065431479743515274,0.12206496764485812,0.003846782980613351,0.19617454938554316,0.004984178510590823,15,0.723 ± 0.007,0.122 ± 0.004,0.196 ± 0.005
