target_model,label,group,model,auroc_mean,auroc_std,auprc_mean,auprc_std,spearman_mean,spearman_std,n_folds,auroc_ci,auprc_ci,spearman_ci
1.4B_scrambled,exact_match,baseline,logistic,0.7263668735267934,0.03151889004946647,0.03131210922832187,0.007290060244808981,0.20589754395125226,0.008820295873435397,15,0.726 ± 0.032,0.031 ± 0.007,0.206 ± 0.009
1.4B_scrambled,exact_match,counts,logistic,0.7222793888060057,0.027987332577115106,0.03121844600112033,0.007149145585493929,0.23093428813565378,0.008818152281886852,15,0.722 ± 0.028,0.031 ± 0.007,0.231 ± 0.009
1.4B_scrambled,exact_match,full,logistic,0.7776631900756025,0.02399314213246454,0.024908692207964742,0.0033820519239684886,0.2630075578227836,0.007205627669125131,15,0.778 ± 0.024,0.025 ± 0.003,0.263 ± 0.007
1.4B_scrambled,exact_match,full_gbm,gbm,0.7664795377171328,0.02985433394741608,0.029751448269696015,0.004346020128743084,0.2630075578227836,0.007205627669125131,15,0.766 ± 0.030,0.030 ± 0.004,0.263 ± 0.007
1.4B_scrambled,exact_match,length_only,logistic,0.7252304568651174,0.03170582180238549,0.031391157046881196,0.0072627057859019906,0.2057293052407454,0.008823696430469131,15,0.725 ± 0.032,0.031 ± 0.007,0.206 ± 0.009
1.4B_scrambled,exact_match,trivial,logistic,0.6378753547331153,0.026026734806293705,0.009137911187189889,0.0009642101943236172,0.19617834373318552,0.008561082706948579,15,0.638 ± 0.026,0.009 ± 0.001,0.196 ± 0.009
1.4B_scrambled,half_match,baseline,logistic,0.768512999079425,0.011246708433713589,0.13418079735308913,0.014367913284714099,0.20580492707827702,0.0056847907716447,15,0.769 ± 0.011,0.134 ± 0.014,0.206 ± 0.006
1.4B_scrambled,half_match,counts,logistic,0.785014643579128,0.012099308848728467,0.12105671774426054,0.010909140713572144,0.23089375073282922,0.005545501051051747,15,0.785 ± 0.012,0.121 ± 0.011,0.231 ± 0.006
1.4B_scrambled,half_match,full,logistic,0.8213292987036865,0.006857628445572636,0.11829815938426257,0.009469931053157533,0.2629653842481099,0.003697088622093844,15,0.821 ± 0.007,0.118 ± 0.009,0.263 ± 0.004
1.4B_scrambled,half_match,full_gbm,gbm,0.8358646693814827,0.008232801254923016,0.1467533369120333,0.014799647623377314,0.2629653842481099,0.003697088622093844,15,0.836 ± 0.008,0.147 ± 0.015,0.263 ± 0.004
1.4B_scrambled,half_match,length_only,logistic,0.7707291367304098,0.01152331493048131,0.12925101335662303,0.015120555188779947,0.20561521055244994,0.005689222055734281,15,0.771 ± 0.012,0.129 ± 0.015,0.206 ± 0.006
1.4B_scrambled,half_match,trivial,logistic,0.7168758741672977,0.013616537728493755,0.0619179263188973,0.0036628869193387394,0.19613854554865479,0.0039538756416853515,15,0.717 ± 0.014,0.062 ± 0.004,0.196 ± 0.004
1.4B_scrambled,top_1.0pct,baseline,logistic,0.7720301718958603,0.015205772384937444,0.07160612718343765,0.010713345040910973,0.20592936729293687,0.004423565181561032,15,0.772 ± 0.015,0.072 ± 0.011,0.206 ± 0.004
1.4B_scrambled,top_1.0pct,counts,logistic,0.7716099926099896,0.0127201261123013,0.0664071332808485,0.010456924590906835,0.23104673062430126,0.004784231951398123,15,0.772 ± 0.013,0.066 ± 0.010,0.231 ± 0.005
1.4B_scrambled,top_1.0pct,full,logistic,0.8113103571837974,0.013358188877526071,0.05940060311717319,0.0070176065338141205,0.2630870759678746,0.005515264992634837,15,0.811 ± 0.013,0.059 ± 0.007,0.263 ± 0.006
1.4B_scrambled,top_1.0pct,full_gbm,gbm,0.8206979174960086,0.017784014996245566,0.0654291055476041,0.0061596087263904985,0.2630870759678746,0.005515264992634837,15,0.821 ± 0.018,0.065 ± 0.006,0.263 ± 0.006
1.4B_scrambled,top_1.0pct,length_only,logistic,0.7718532867241056,0.014698185442983637,0.07112102683689396,0.01081059902865654,0.2057572765065899,0.004346118642398096,15,0.772 ± 0.015,0.071 ± 0.011,0.206 ± 0.004
1.4B_scrambled,top_1.0pct,trivial,logistic,0.6918741561291509,0.020219110961817856,0.023061147662579825,0.002111654789697849,0.19615201389066225,0.004554318119566131,15,0.692 ± 0.020,0.023 ± 0.002,0.196 ± 0.005
1.4B_scrambled,top_5.0pct,baseline,logistic,0.7568600288921774,0.00624597192911477,0.19965894999095457,0.009483929658812841,0.20593723803018626,0.004656673709543284,15,0.757 ± 0.006,0.200 ± 0.009,0.206 ± 0.005
1.4B_scrambled,top_5.0pct,counts,logistic,0.7745334510079643,0.0065265572574544255,0.18763766585311334,0.005581109550803177,0.23109367483486948,0.005496243457511012,15,0.775 ± 0.007,0.188 ± 0.006,0.231 ± 0.005
1.4B_scrambled,top_5.0pct,full,logistic,0.8117539993610464,0.0051273601573369595,0.1913555155408493,0.00782854846185926,0.263157154095864,0.0034879417785657787,15,0.812 ± 0.005,0.191 ± 0.008,0.263 ± 0.003
1.4B_scrambled,top_5.0pct,full_gbm,gbm,0.8264578297905267,0.004766361522923862,0.22216141471246417,0.009175481173566072,0.263157154095864,0.0034879417785657787,15,0.826 ± 0.005,0.222 ± 0.009,0.263 ± 0.003
1.4B_scrambled,top_5.0pct,length_only,logistic,0.7586503580084725,0.006217415913674829,0.19689126498010096,0.008837216414243666,0.2057468465902073,0.00470471319460911,15,0.759 ± 0.006,0.197 ± 0.009,0.206 ± 0.005
1.4B_scrambled,top_5.0pct,trivial,logistic,0.7228302375611312,0.0065431479743515274,0.12206496764485812,0.003846782980613351,0.19617454938554316,0.004984178510590823,15,0.723 ± 0.007,0.122 ± 0.004,0.196 ± 0.005
