,len_chars,char_entropy,zlib_bpc,n_tokens,compression_ratio,log_token_count,merge_rank_mean,merge_rank_min,merge_rank_max,max_token_len,mean_token_len,frac_single_char_tokens
len_chars,1.0,-0.2735502073555007,-0.5994361579511919,,-0.8153859333883673,,-0.5704933108897781,-0.12367717478129511,-0.03921738673432377,0.5396394568561915,0.9918830678155864,-0.6745452007373917
char_entropy,-0.2735502073555007,1.0,0.43453046971695736,,0.0724212889869701,,-0.0641303917696086,-0.13213178943387513,0.03240023159647306,-0.3057139128523122,-0.2802909235875796,0.060975879834913045
zlib_bpc,-0.5994361579511919,0.43453046971695736,1.0,,0.7534683319443828,,0.27067448875843697,0.27313725323345317,0.026704800092447682,-0.3669982127817878,-0.5254049307471849,0.28970068269349997
n_tokens,,,,,,,,,,,,
compression_ratio,-0.8153859333883673,0.0724212889869701,0.7534683319443828,,1.0,,0.6128144568835341,0.3618512833997215,0.021872209969696976,-0.4099248898188132,-0.7726455752245115,0.6522706303958743
log_token_count,,,,,,,,,,,,
merge_rank_mean,-0.5704933108897781,-0.0641303917696086,0.27067448875843697,,0.6128144568835341,,1.0,0.20118183434748374,0.10990756255691703,-0.05674117096602783,-0.5709309419256242,0.9161434246195075
merge_rank_min,-0.12367717478129511,-0.13213178943387513,0.27313725323345317,,0.3618512833997215,,0.20118183434748374,1.0,-0.001835378270792291,-0.05762910316242331,-0.09029794539435425,0.15240997305482587
merge_rank_max,-0.03921738673432377,0.03240023159647306,0.026704800092447682,,0.021872209969696976,,0.10990756255691703,-0.001835378270792291,1.0,0.004754784271322528,-0.042524981177476356,0.10890899428097695
max_token_len,0.5396394568561915,-0.3057139128523122,-0.3669982127817878,,-0.4099248898188132,,-0.05674117096602783,-0.05762910316242331,0.004754784271322528,1.0,0.5403391754936149,-0.15296584464703336
mean_token_len,0.9918830678155864,-0.2802909235875796,-0.5254049307471849,,-0.7726455752245115,,-0.5709309419256242,-0.09029794539435425,-0.042524981177476356,0.5403391754936149,1.0,-0.6929447244026616
frac_single_char_tokens,-0.6745452007373917,0.060975879834913045,0.28970068269349997,,0.6522706303958743,,0.9161434246195075,0.15240997305482587,0.10890899428097695,-0.15296584464703336,-0.6929447244026616,1.0
